Counter,Time,Bin 15,Bin 10,Bin 6,Bin 7,Bin 13,Bin 3,Checksum,Bin 0,Bin5 MToF,PM10,Bin 1,Bin 12,Bin 11,PM2.5,Bin 2,Pressure,Bin3 MToF,Temperature,Bin1 MToF,Bin 8,Bin 14,Sampling Period,SFR,Bin 4,Bin 9,Bin 5,PM1,Bin7 MToF
1,0.00013947486877441406,0,0,0,0,0,3,13,4,9.0,0.05879741162061691,2,0,0,0.056628499180078506,3,,8.333333333333334,,6.0,0,0,44.561195373535156,3.896697759628296,0,0,1,0.03310541436076164,0.0
2,0.6062211990356445,0,0,0,0,0,1,1,0,0.0,0.36227545142173767,0,0,0,0.3498338460922241,0,,8.333333333333334,,0.0,0,0,0.5041066408157349,3.896697759628296,0,0,0,0.11962800472974777,0.0
3,1.2044258117675781,0,0,1,0,0,1,3,1,0.0,2.2202937602996826,0,0,0,1.351836919784546,0,,7.0,,0.0,0,0,0.50327467918396,3.896697759628296,0,0,0,0.32314765453338623,0.0
4,1.803135871887207,0,0,0,0,0,0,2,1,0.0,0.562134325504303,1,0,0,0.5619381666183472,0,,0.0,,6.333333333333333,0,0,0.5040213465690613,3.8966658115386963,0,0,0,0.5000618696212769,0.0
5,2.4116854667663574,0,0,0,0,0,0,9,6,0.0,2.853231906890869,0,0,0,2.8072729110717773,2,,0.0,,0.0,0,0,0.5035306811332703,3.8966658115386963,1,0,0,1.9498310089111328,0.0
6,3.0263707637786865,0,0,0,0,0,0,4,3,0.0,0.9680176377296448,0,0,0,0.9307484030723572,0,,0.0,,0.0,0,0,0.5040213465690613,3.8966658115386963,1,0,0,0.6235249638557434,0.0
7,3.634772777557373,0,0,0,0,0,0,2,0,0.0,0.7447659969329834,2,0,0,0.7443799376487732,0,,0.0,,6.333333333333333,0,0,0.5034453272819519,3.896603584289551,0,0,0,0.6310524940490723,0.0
8,4.244885444641113,0,0,0,0,0,0,3,3,0.0,0.5702196359634399,0,0,0,0.5702095627784729,0,,0.0,,0.0,0,0,0.5043200254440308,3.896603584289551,0,0,0,0.5543840527534485,0.0
9,4.853409290313721,0,0,0,0,0,1,5,3,8.333333333333334,1.5724257230758667,0,0,0,1.4188363552093506,0,,7.0,,0.0,0,0,0.5038293600082397,3.896603584289551,0,0,1,0.7181251645088196,0.0
10,5.455899000167847,0,0,0,0,0,0,3,1,0.0,0.9362186789512634,2,0,0,0.9358288645744324,0,,0.0,,7.0,0,0,0.5045973062515259,3.8833508491516113,0,0,0,0.817084014415741,0.0
11,6.05430269241333,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,,0.0,,0.0,0,0,0.5039146542549133,3.8833508491516113,0,0,0,0.0,0.0
12,6.654018402099609,0,0,0,0,0,0,1,1,0.0,0.1905687302350998,0,0,0,0.19056536257266998,0,,0.0,,0.0,0,0,0.5047253370285034,3.8833508491516113,0,0,0,0.18527643382549286,0.0
13,7.256459712982178,0,0,0,0,0,0,14,13,0.0,3.139711618423462,0,0,0,3.1353344917297363,1,,0.0,,0.0,0,0,0.5039146542549133,3.8833508491516113,0,0,0,2.7987220287323,0.0
14,7.859018325805664,0,0,0,0,0,0,101,85,0.0,22.676240921020508,12,0,0,22.6568660736084,4,,0.0,,5.333333333333333,0,0,0.504746675491333,3.989987373352051,0,0,0,20.516361236572266,0.0
15,8.459526062011719,0,0,0,0,0,0,103,87,0.0,24.12224006652832,8,0,0,24.086816787719727,8,,0.0,,6.0,0,0,0.5036799907684326,4.0038652420043945,0,0,0,21.120180130004883,0.0
16,9.060730934143066,0,0,1,0,0,0,123,103,0.0,28.75379180908203,14,0,0,27.903600692749023,5,,0.0,,6.0,0,0,0.5048533082008362,4.023723602294922,0,0,0,24.556880950927734,0.0
17,9.664300680160522,0,0,0,0,0,0,99,85,0.0,21.36529541015625,12,0,0,21.35435676574707,2,,0.0,,6.333333333333333,0,0,0.5040213465690613,4.001636028289795,0,0,0,19.736562728881836,0.0
18,10.266656637191772,0,0,0,0,0,0,103,86,0.0,22.83077621459961,13,0,0,22.811542510986328,4,,0.0,,5.666666666666667,0,0,0.5045973062515259,4.059986591339111,0,0,0,20.64799690246582,0.0
19,10.86493182182312,0,0,0,0,0,1,149,124,0.0,31.994338989257812,22,0,0,31.96971321105957,2,,7.666666666666667,,6.0,0,0,0.5039146542549133,4.073577880859375,0,0,0,29.4213924407959,0.0
20,11.464721918106079,0,0,0,0,0,1,141,121,0.0,29.79318618774414,15,0,0,29.762039184570312,4,,7.0,,5.666666666666667,0,0,0.5044479966163635,4.126544952392578,0,0,0,27.134428024291992,0.0
21,12.06374979019165,0,0,0,0,0,0,206,162,0.0,47.006568908691406,31,0,0,46.917781829833984,12,,0.0,,5.666666666666667,0,0,0.5033386945724487,4.200976371765137,1,0,0,41.249847412109375,0.0
22,12.666608572006226,0,0,0,0,0,1,360,282,0.0,79.66651153564453,60,0,0,79.57691955566406,17,,7.0,,5.666666666666667,0,0,0.5042986869812012,4.275609493255615,0,0,0,70.78724670410156,0.0
23,13.271005868911743,0,0,1,0,0,1,288,231,0.0,65.6047592163086,46,0,0,64.7337875366211,9,,7.0,,6.333333333333333,0,0,0.5034239888191223,4.101548194885254,0,0,0,57.84191131591797,0.0
24,13.875790357589722,0,0,0,0,0,1,323,266,0.0,70.26339721679688,42,0,0,70.18745422363281,14,,7.0,,5.666666666666667,0,0,0.5040000081062317,4.201460361480713,0,0,0,63.00288009643555,0.0
25,14.485517501831055,0,0,0,0,0,1,402,331,0.0,88.86463165283203,51,0,0,88.76575469970703,19,,7.0,,6.0,0,0,0.5034239888191223,4.159460544586182,0,0,0,79.44969177246094,0.0
26,15.085453033447266,0,0,0,0,0,0,420,354,0.0,88.96273040771484,57,0,0,88.91465759277344,9,,0.0,,6.0,0,0,0.5040640234947205,4.135764122009277,0,0,0,81.85302734375,0.0
