Counter,Time,PM2.5,PM10
1,0.6059079170227051,1.2,2.5
3,1.802762746810913,1.2,2.5
5,3.025991678237915,1.2,2.5
7,4.244431972503662,1.2,2.4
9,5.455432176589966,1.1,2.4
11,6.652958393096924,1.2,2.4
13,7.858558654785156,1.2,2.5
15,9.059642791748047,1.2,2.6
17,10.266202926635742,1.2,2.6
19,11.46418809890747,1.2,2.1
21,12.666234493255615,1.2,2.2
23,13.875422954559326,1.2,1.8
25,15.085089921951294,1.2,1.9
27,16.2821683883667,1.2,1.8
29,17.483096837997437,1.4,2.1
31,18.681224822998047,1.7,2.5
33,19.878129482269287,2.0,3.1
35,21.0767183303833,2.6,3.8
37,22.27385425567627,3.3,4.5
39,23.479873418807983,4.0,5.3
41,24.68045973777771,4.8,6.2
43,25.879053115844727,6.6,8.2
45,27.07831120491028,8.4,10.2
47,28.275487899780273,12.6,16.0
49,29.472766399383545,17.4,22.0
51,30.671273946762085,20.6,25.8
53,31.884385585784912,23.7,29.7
55,33.082706451416016,27.2,33.9
57,34.27981734275818,32.5,40.7
59,35.477044105529785,38.0,47.4
61,36.67555904388428,44.3,54.5
63,37.8739070892334,51.8,62.4
65,39.07616686820984,58.3,69.8
67,40.28178954124451,68.7,81.6
69,41.48261308670044,80.7,95.8
71,42.67964053153992,89.0,106.2
73,43.876880407333374,98.5,117.8
75,45.075196743011475,111.9,132.9
77,46.273669719696045,123.9,147.5
79,47.47355604171753,135.5,160.5
81,48.67789888381958,149.8,176.9
83,49.87477374076843,161.9,191.0
85,51.07384777069092,177.5,207.7
87,52.271726846694946,193.2,225.0
89,53.46864175796509,208.4,241.2
91,54.666451930999756,218.9,253.6
93,55.86893320083618,234.6,269.8
95,57.07461762428284,248.7,285.1
97,58.27100920677185,262.4,299.8
99,59.46830773353577,277.6,315.6
101,60.66664457321167,292.5,331.7
103,61.86470127105713,304.9,345.3
105,63.06175231933594,319.6,360.8
107,64.26040148735046,333.9,375.4
109,65.4576096534729,346.3,389.1
111,66.6661229133606,360.7,405.2
113,67.88422656059265,375.6,421.8
115,69.08249640464783,389.2,436.9
117,70.27956748008728,400.8,449.7
119,71.47673273086548,413.9,464.3
121,72.67533087730408,428.1,480.0
