Counter,Time,PM2.5,Bin 11,Bin5 MToF,PM1,Bin 8,Temperature,SFR,Bin1 MToF,Bin 3,Bin 14,PM10,Checksum,Bin 13,Bin 2,Bin 10,Pressure,Sampling Period,Bin 6,Bin 4,Bin 12,Bin7 MToF,Bin 9,Bin 7,Bin 1,Bin 15,Bin 5,Bin 0,Bin3 MToF
1,0.0001499652862548828,0.001478064339607954,0,0.0,0.0014370422577485442,0,,3.717747926712036,0.0,0,0,0.0014780904166400433,1,0,0,0,,67.97237396240234,0,0,0,0.0,0,0,0,0,0,1,0.0
2,0.6117463111877441,0.0,0,0.0,0.0,0,,3.717747926712036,0.0,0,0,0.0,0,0,0,0,,0.5042133331298828,0,0,0,0.0,0,0,0,0,0,0,0.0
3,1.2098913192749023,0.0,0,0.0,0.0,0,,3.717747926712036,0.0,0,0,0.0,0,0,0,0,,0.5033386945724487,0,0,0,0.0,0,0,0,0,0,0,0.0
4,1.8087666034698486,0.0,0,0.0,0.0,0,,3.717747926712036,0.0,0,0,0.0,0,0,0,0,,0.5042986869812012,0,0,0,0.0,0,0,0,0,0,0,0.0
5,2.420767068862915,0.37800925970077515,0,0.0,0.07222192734479904,0,,3.717747926712036,0.0,0,0,0.41710948944091797,1,0,0,0,,0.5034026503562927,0,1,0,0.0,0,0,0,0,0,0,0.0
6,3.0192549228668213,0.0,0,0.0,0.0,0,,3.717747926712036,0.0,0,0,0.0,0,0,0,0,,0.5039786696434021,0,0,0,0.0,0,0,0,0,0,0,0.0
7,3.6177902221679688,0.8496395349502563,0,0.0,0.019013306125998497,0,,3.717747926712036,0.0,0,0,1.7464529275894165,1,0,0,0,,0.5034880042076111,1,0,0,0.0,0,0,0,0,0,0,0.0
8,4.2166430950164795,0.3775612413883209,0,0.0,0.07213632762432098,0,,3.717747926712036,0.0,0,0,0.41661515831947327,1,0,0,0,,0.5040000081062317,0,1,0,0.0,0,0,0,0,0,0,0.0
9,4.815044403076172,0.0,0,0.0,0.0,0,,3.717747926712036,0.0,0,0,0.0,0,0,0,0,,0.5033599734306335,0,0,0,0.0,0,0,0,0,0,0,0.0
10,5.413506507873535,0.0,0,0.0,0.0,0,,3.717747926712036,0.0,0,0,0.0,0,0,0,0,,0.5038506388664246,0,0,0,0.0,0,0,0,0,0,0,0.0
11,6.011998653411865,0.0,0,0.0,0.0,0,,3.717747926712036,0.0,0,0,0.0,0,0,0,0,,0.5033599734306335,0,0,0,0.0,0,0,0,0,0,0,0.0
12,6.610888481140137,0.0,0,0.0,0.0,0,,3.717747926712036,0.0,0,0,0.0,0,0,0,0,,0.5043200254440308,0,0,0,0.0,0,0,0,0,0,0,0.0
13,7.209058523178101,0.3671855032444,0,0.0,0.12556152045726776,0,,3.717747926712036,0.0,1,0,0.3802441656589508,1,0,0,0,,0.5034026503562927,0,0,0,0.0,0,0,0,0,0,0,7.666666666666667
14,7.81758975982666,0.19935724139213562,0,0.0,0.19382429122924805,0,,3.717747926712036,0.0,0,0,0.19936074316501617,1,0,0,0,,0.5039573311805725,0,0,0,0.0,0,0,0,0,0,1,0.0
15,8.417817831039429,0.3986469507217407,0,0.0,0.3875829577445984,0,,3.717747926712036,0.0,0,0,0.3986539840698242,2,0,0,0,,0.5040426850318909,0,0,0,0.0,0,0,0,0,0,2,0.0
16,9.02491569519043,0.6829285621643066,0,0.0,0.40333908796310425,0,,3.717747926712036,0.0,0,0,0.6874533891677856,1,0,1,0,,0.5040640234947205,0,0,0,0.0,0,0,0,0,0,0,0.0
17,9.623286008834839,0.0,0,0.0,0.0,0,,3.717747926712036,0.0,0,0,0.0,0,0,0,0,,0.5033173561096191,0,0,0,0.0,0,0,0,0,0,0,0.0
18,10.222082138061523,2.263488292694092,0,0.0,1.8922027349472046,0,,3.7266626358032227,5.666666666666667,0,0,2.268225908279419,8,0,1,0,,0.5039573311805725,0,0,0,0.0,0,0,1,0,0,6,0.0
19,10.820682048797607,0.0,0,0.0,0.0,0,,3.7266626358032227,0.0,0,0,0.0,0,0,0,0,,0.5033813118934631,0,0,0,0.0,0,0,0,0,0,0,0.0
20,11.419109582901001,0.5967168211936951,0,0.0,0.580155611038208,0,,3.7266626358032227,0.0,0,0,0.5967273712158203,3,0,0,0,,0.5038933157920837,0,0,0,0.0,0,0,0,0,0,3,0.0
