Counter,Time,Bin1 MToF,Bin 14,Bin 2,Bin 5,Bin 9,PM10,Bin 8,Bin 0,Checksum,Bin7 MToF,Bin 3,Bin 10,Bin 12,SFR,Bin 15,Bin5 MToF,PM2.5,Pressure,Bin 1,PM1,Bin3 MToF,Bin 13,Bin 4,Bin 7,Bin 6,Bin 11,Temperature,Sampling Period
1,0.0001392364501953125,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,3.700000047683716,0,0.0,0.0,,0,0.0,0.0,0,0,0,0,0,,12327.9482421875
2,0.832557201385498,0.0,0,2,0,0,10.692325592041016,1,2,8,0.0,3,0,0,3.700000047683716,0,0.0,2.6240241527557373,,0,1.080150842666626,8.0,0,0,0,0,0,,0.7370453476905823
3,1.4305462837219238,0.0,0,0,0,0,2.3564412593841553,0,3,4,0.0,0,0,0,3.700000047683716,0,0.0,1.4552773237228394,,0,0.6039367914199829,0.0,0,0,0,1,0,,0.5034666657447815
4,2.0290791988372803,7.666666666666667,0,0,0,0,3.3775503635406494,0,2,5,0.0,0,0,0,3.2173912525177,0,0.0,2.341888904571533,,2,1.2332227230072021,0.0,0,0,0,1,0,,0.5040213465690613
5,2.6274898052215576,0.0,0,2,0,0,2.030536651611328,0,0,3,0.0,1,0,0,3.2173912525177,0,0.0,2.004971981048584,,0,1.0786255598068237,9.666666666666666,0,0,0,0,0,,0.5033173561096191
6,3.226139783859253,0.0,0,0,1,0,6.377678871154785,0,2,4,14.333333333333334,0,0,0,3.2173912525177,0,12.333333333333334,2.114095687866211,,0,0.5056312084197998,0.0,0,0,1,0,0,,0.504149317741394
7,3.824547290802002,12.333333333333334,0,2,1,0,6.037952899932861,0,4,10,0.0,1,0,0,2.4666666984558105,0,15.0,5.7808709144592285,,2,3.6419107913970947,10.333333333333334,0,0,0,0,0,,0.5034453272819519
8,4.423287630081177,0.0,0,0,0,0,0.3003484010696411,0,1,1,0.0,0,0,0,2.4666666984558105,0,0.0,0.3003430962562561,,0,0.2920074164867401,0.0,0,0,0,0,0,,0.5041706562042236
9,5.021624803543091,0.0,0,0,0,0,22.319843292236328,1,2,4,0.0,0,0,0,2.4666666984558105,0,0.0,3.3219261169433594,,0,0.6156966090202332,0.0,0,0,0,1,0,,0.5034239888191223
10,5.620258808135986,9.0,0,0,0,1,64.61902618408203,1,1,6,0.0,0,0,0,2.5771145820617676,0,0.0,4.319896697998047,,3,1.711351752281189,0.0,0,0,0,0,0,,0.5041279792785645
