Counter,Time,PM2.5,PM10
1,0.8257443904876709,1.7,5.3
3,2.028622627258301,1.7,4.8
5,3.225703239440918,1.7,4.9
7,4.42283034324646,1.6,4.7
9,5.6197593212127686,1.7,4.7
11,6.816890478134155,1.8,4.4
13,8.014149188995361,1.7,4.4
15,9.21156620979309,1.8,4.7
17,10.40855360031128,1.8,4.7
19,11.605566024780273,1.8,4.7
21,12.803741693496704,1.8,4.7
23,14.002134323120117,1.8,5.0
25,15.200689792633057,1.8,5.3
27,16.39778470993042,1.8,5.3
29,17.594929456710815,1.8,5.5
31,18.79208517074585,1.8,5.4
33,20.000305652618408,1.8,5.3
35,21.20735478401184,1.8,5.3
37,22.404402017593384,1.8,5.5
39,23.60135531425476,1.8,5.6
41,24.80953860282898,1.8,5.4
43,26.00779676437378,1.7,5.3
45,27.20520257949829,1.7,5.1
47,28.401826858520508,1.7,5.6
49,29.59915280342102,1.7,5.5
51,30.795942068099976,1.7,5.2
53,31.994130849838257,1.7,5.1
55,33.19247078895569,1.8,5.2
57,34.389490604400635,1.8,5.2
59,35.59772300720215,1.8,5.2
61,36.81009078025818,1.8,5.3
63,38.0113582611084,1.8,5.4
65,39.21607327461243,1.8,6.7
67,40.41672873497009,1.8,6.4
69,41.62272787094116,1.8,7.0
71,42.821747064590454,1.8,7.0
73,44.019055128097534,1.8,7.0
75,45.216211795806885,1.7,6.7
77,46.41319036483765,1.7,6.7
79,47.61038088798523,1.7,6.7
81,48.807281255722046,1.7,6.9
83,50.00451469421387,1.7,6.7
85,51.20267105102539,1.7,6.5
87,52.39977669715881,1.8,6.4
89,53.59682321548462,1.8,6.2
91,54.8001823425293,1.8,6.2
93,55.998629570007324,1.8,6.2
95,57.20980787277222,1.8,6.2
97,58.41441869735718,1.7,6.0
99,59.634395122528076,1.7,6.0
101,60.84126114845276,1.7,6.0
103,62.04460096359253,1.7,6.0
105,63.248536348342896,1.8,6.0
107,64.44739961624146,1.8,5.7
109,65.65145206451416,1.8,5.6
111,66.85213327407837,1.8,5.7
113,68.05422925949097,1.8,6.0
115,69.25905108451843,1.7,6.0
117,70.46358752250671,1.8,5.6
119,71.66802310943604,1.8,5.6
121,72.8688485622406,1.8,5.4
123,74.06970763206482,1.8,5.5
125,75.26707148551941,1.8,4.3
127,76.47224164009094,1.8,4.3
129,77.67214465141296,1.8,3.6
131,78.87780570983887,1.7,3.6
133,80.0895128250122,1.7,3.7
135,81.3003830909729,1.7,3.7
137,82.51123571395874,1.7,3.9
139,83.72065997123718,1.7,3.8
141,84.93041729927063,1.7,4.0
143,86.12864947319031,1.7,3.9
145,87.33585166931152,1.7,3.9
147,88.5333092212677,1.7,3.9
149,89.7373616695404,1.7,4.2
151,90.93532252311707,1.7,4.8
153,92.13758373260498,1.7,4.8
155,93.34291386604309,1.7,4.8
157,94.53949785232544,1.7,4.9
159,95.7420072555542,1.7,4.6
161,96.94435977935791,1.7,4.6
163,98.14879536628723,1.7,5.0
165,99.34956407546997,1.7,4.9
167,100.55052614212036,1.6,4.8
169,101.75115370750427,1.6,4.8
171,102.96803855895996,1.6,4.7
173,104.17736911773682,1.6,4.4
175,105.3756275177002,1.6,4.4
177,106.59670066833496,1.5,4.4
179,107.80628824234009,1.5,4.4
181,109.0092704296112,1.5,4.3
183,110.20684766769409,1.5,4.1
185,111.41111302375793,1.5,4.1
187,112.60948371887207,1.5,4.1
189,113.81453657150269,1.5,4.3
191,115.02039384841919,1.5,4.3
193,116.22235918045044,1.5,4.2
195,117.42879819869995,1.5,4.2
197,118.62648344039917,1.5,4.0
199,119.83102941513062,1.5,4.0
201,121.02963542938232,1.4,3.6
203,122.23514556884766,1.4,3.5
205,123.4338641166687,1.5,3.6
207,124.63412523269653,1.4,3.6
209,125.83872580528259,1.5,3.5
211,127.04296636581421,1.4,2.8
213,128.2453589439392,1.4,3.0
215,129.44335913658142,1.4,2.9
217,130.64157438278198,1.4,2.9
219,131.8388388156891,1.4,3.0
221,133.03716254234314,1.4,3.0
223,134.23543906211853,1.4,2.7
225,135.4458613395691,1.4,3.0
227,136.64792728424072,1.4,2.9
229,137.8526909351349,1.4,3.0
231,139.05136609077454,1.4,2.9
233,140.25133299827576,1.4,2.8
235,141.44931316375732,1.4,3.0
237,142.64573860168457,1.4,2.9
239,143.84267163276672,1.3,2.9
241,145.03999543190002,1.4,2.9
243,146.23843145370483,1.3,2.9
245,147.43661737442017,1.3,2.7
247,148.64375233650208,1.3,2.7
249,149.8521227836609,1.3,2.5
251,151.04913020133972,1.3,2.5
253,152.24771928787231,1.3,2.4
255,153.44610023498535,1.2,2.4
257,154.6557195186615,1.2,2.4
259,155.86567378044128,1.2,2.4
261,157.06752586364746,1.2,2.3
263,158.27214241027832,1.1,2.3
265,159.4766981601715,1.1,2.2
267,160.67904329299927,1.1,2.1
269,161.87999391555786,1.0,2.0
271,163.08524680137634,1.0,2.0
273,164.2920000553131,1.0,1.7
275,165.4906725883484,1.0,1.8
277,166.69157695770264,1.0,1.9
279,167.89920234680176,0.9,1.8
281,169.10003423690796,0.9,1.8
283,170.2982165813446,0.9,1.8
285,171.5027859210968,0.9,1.5
287,172.7073154449463,0.9,1.5
289,173.91165351867676,0.8,1.5
291,175.11344194412231,0.8,1.4
293,176.32954239845276,0.8,1.4
295,177.54099440574646,0.8,1.1
297,178.73887658119202,0.8,1.1
299,179.94210052490234,0.8,1.2
301,181.14667677879333,0.8,1.2
303,182.35122776031494,0.8,1.6
305,183.5501685142517,0.7,1.6
307,184.7675232887268,0.7,1.6
309,185.96589279174805,0.7,1.5
311,187.17574620246887,0.7,1.5
313,188.37675070762634,0.7,1.5
315,189.5785264968872,0.7,1.4
317,190.7822709083557,0.6,1.4
319,191.98311710357666,0.6,1.4
321,193.1877498626709,0.6,1.3
323,194.3997414112091,0.6,1.3
325,195.60220313072205,0.6,1.3
327,196.81672310829163,0.6,1.3
329,198.0208034515381,0.6,1.4
331,199.22159361839294,0.6,1.4
333,200.4263117313385,0.6,1.4
335,201.6320652961731,0.6,1.2
337,202.83666515350342,0.5,1.2
339,204.05408883094788,0.5,1.2
341,205.25744724273682,0.5,1.3
343,206.45508933067322,0.5,1.2
