Counter,Time,Bin1 MToF,PM10,Bin 4,Bin 11,Bin 10,Bin 0,Bin 14,PM1,Sampling Period,Bin 15,Bin5 MToF,Bin 5,Bin 3,Checksum,Bin 8,Bin7 MToF,Bin 13,Pressure,Bin 7,Bin 9,Bin 12,Temperature,Bin 1,Bin 2,Bin 6,PM2.5,Bin3 MToF,SFR
1,0.00013780593872070312,0.0,0.0,0,0,0,0,0,0.0,31.481386184692383,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
2,0.9662699699401855,0.0,0.0,0,0,0,0,0,0.0,0.858240008354187,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
3,1.564073085784912,0.0,0.0,0,0,0,0,0,0.0,0.5032533407211304,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
4,2.165609121322632,0.0,0.0,0,0,0,0,0,0.0,0.5047253370285034,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
5,2.776092290878296,0.0,0.0,0,0,0,0,0,0.0,0.5031466484069824,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
6,3.379373788833618,0.0,0.0,0,0,0,0,0,0.0,0.5037013292312622,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
7,3.9782865047454834,0.0,0.20058873295783997,0,0,0,1,0,0.19501818716526031,0.50327467918396,0,0.0,0,0,1,0,0.0,0,,0,0,0,,0,0,0,0.20058520138263702,0.0,3.700000047683716
8,4.585638999938965,0.0,0.0,0,0,0,0,0,0.0,0.5039573311805725,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
9,5.186986207962036,0.0,0.0,0,0,0,0,0,0.0,0.5037226676940918,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
10,5.788753509521484,0.0,0.0,0,0,0,0,0,0.0,0.5037226676940918,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
11,6.397343397140503,0.0,0.0,0,0,0,0,0,0.0,0.5034026503562927,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
12,7.007388114929199,0.0,0.0,0,0,0,0,0,0.0,0.5041919946670532,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
13,7.605667591094971,0.0,0.691189706325531,0,0,0,0,0,0.40553125739097595,0.5037440061569214,0,0.0,0,0,1,0,0.0,0,,0,0,0,,0,1,0,0.6866403222084045,0.0,3.700000047683716
14,8.209885835647583,0.0,0.0,0,0,0,0,0,0.0,0.5046186447143555,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
15,8.808079957962036,0.0,0.0,0,0,0,0,0,0.0,0.5038506388664246,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
16,9.41013789176941,0.0,0.0,0,0,0,0,0,0.0,0.5041279792785645,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
17,10.018528461456299,0.0,0.0,0,0,0,0,0,0.0,0.5035733580589294,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
18,10.617262363433838,0.0,0.0,0,0,0,0,0,0.0,0.5041706562042236,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
19,11.215626239776611,0.0,0.0,0,0,0,0,0,0.0,0.5034239888191223,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
20,11.814403772354126,0.0,0.0,0,0,0,0,0,0.0,0.5041706562042236,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
21,12.412699937820435,0.0,0.0,0,0,0,0,0,0.0,0.5034453272819519,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
22,13.011289596557617,0.0,0.0,0,0,0,0,0,0.0,0.5040640234947205,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
23,13.609753131866455,0.0,0.0,0,0,0,0,0,0.0,0.5034026503562927,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
24,14.219836711883545,0.0,0.0,0,0,0,0,0,0.0,0.504256010055542,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
25,14.81813669204712,0.0,0.0,0,0,0,0,0,0.0,0.5038080215454102,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
26,15.422329425811768,0.0,0.0,0,0,0,0,0,0.0,0.5047039985656738,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
27,16.02417778968811,0.0,0.0,0,0,0,0,0,0.0,0.5038293600082397,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
28,16.62430429458618,0.0,0.0,0,0,0,0,0,0.0,0.5044479966163635,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
29,17.227346420288086,0.0,0.0,0,0,0,0,0,0.0,0.5035733580589294,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
30,17.826031923294067,0.0,0.0,0,0,0,0,0,0.0,0.5040000081062317,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
31,18.4243803024292,0.0,0.0,0,0,0,0,0,0.0,0.5034239888191223,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
