Counter,Time,PM2.5,PM10
1,0.6227068901062012,0.8,1.3
3,1.8191030025482178,0.8,1.3
5,3.0164544582366943,0.8,1.3
7,4.215996026992798,0.7,1.2
9,5.41308069229126,0.8,1.3
11,6.6103527545928955,0.7,1.3
13,7.808706045150757,0.8,1.3
15,9.007021427154541,0.8,1.3
17,10.205434799194336,0.7,1.2
19,11.40472960472107,0.7,1.2
21,12.60249924659729,0.7,1.2
23,13.800461292266846,0.7,1.2
25,15.002847909927368,0.7,1.2
27,16.207608461380005,0.7,1.2
29,17.411105394363403,0.6,1.2
31,18.615914583206177,0.6,1.2
33,19.815783977508545,0.6,1.2
35,21.019835710525513,0.6,1.2
37,22.224538803100586,0.6,1.2
39,23.429291486740112,0.6,1.2
41,24.63258719444275,0.6,1.2
43,25.830804347991943,0.6,1.1
45,27.0313081741333,0.6,1.1
47,28.253212451934814,0.6,1.0
49,29.46188998222351,0.6,1.3
51,30.677180290222168,0.6,1.3
53,31.874262809753418,0.6,1.3
55,33.073978900909424,0.6,1.3
57,34.27075695991516,0.6,1.0
59,35.46903896331787,0.5,1.0
61,36.672871112823486,0.6,1.0
63,37.88192558288574,0.6,1.0
65,39.07889652252197,0.6,1.0
67,40.27713871002197,0.5,1.0
69,41.47418403625488,0.5,1.0
71,42.68394184112549,0.6,1.0
73,43.88243055343628,0.5,1.0
75,45.08044409751892,0.5,0.9
77,46.27979850769043,0.5,0.9
79,47.47697377204895,0.5,1.0
81,48.686370849609375,0.5,0.9
83,49.89982771873474,0.5,0.9
85,51.11044502258301,0.5,0.9
87,52.30890893936157,0.5,0.9
89,53.51855969429016,0.6,0.9
91,54.724772214889526,0.6,0.9
93,55.92346954345703,0.6,0.9
95,57.13009476661682,0.6,0.9
97,58.33097457885742,0.6,0.9
99,59.543975591659546,0.6,1.0
101,60.74830341339111,0.6,1.0
103,61.9448618888855,0.6,1.2
105,63.15736985206604,0.6,1.2
107,64.35392355918884,0.6,1.2
109,65.5538535118103,0.6,1.0
111,66.7520682811737,0.6,1.0
113,67.94893407821655,0.6,1.0
115,69.14631772041321,0.6,1.0
117,70.34567618370056,0.6,1.0
119,71.54702115058899,0.6,1.1
121,72.74901986122131,0.6,1.1
123,73.94980597496033,0.6,1.5
125,75.1472384929657,0.6,1.5
127,76.35023736953735,0.6,1.5
129,77.55162262916565,0.6,1.5
131,78.76076078414917,0.6,1.5
133,79.96644401550293,0.6,1.5
135,81.17094850540161,0.6,1.5
137,82.37151265144348,0.6,1.6
139,83.56997537612915,0.6,1.5
141,84.76895546913147,0.6,1.8
143,85.96684837341309,0.6,1.8
145,87.1640191078186,0.6,1.9
147,88.36258339881897,0.6,1.9
149,89.55966472625732,0.6,1.9
151,90.756826877594,0.6,1.8
153,91.96694850921631,0.6,1.9
155,93.16889500617981,0.6,1.8
157,94.37271165847778,0.6,1.9
159,95.56990218162537,0.6,1.8
161,96.76740908622742,0.6,1.8
163,97.96540760993958,0.6,1.5
165,99.16238141059875,0.6,1.5
167,100.35931873321533,0.6,1.6
169,101.56538128852844,0.6,1.5
171,102.78352880477905,0.6,1.7
173,103.99410367012024,0.6,1.7
175,105.19543480873108,0.6,1.7
177,106.40243673324585,0.6,1.7
179,107.6002447605133,0.6,1.6
181,108.79723978042603,0.6,1.6
183,109.99560737609863,0.6,1.1
185,111.19282913208008,0.6,1.1
187,112.39116334915161,0.6,1.1
189,113.59786772727966,0.6,1.1
