Counter,Time,Bin 5,Pressure,Bin 4,PM10,SFR,Bin 8,Bin 15,Bin 6,Bin 3,Bin 2,Bin3 MToF,Bin5 MToF,Bin 9,Bin 14,Bin 12,Checksum,Sampling Period,PM1,PM2.5,Bin 7,Temperature,Bin7 MToF,Bin 1,Bin 11,Bin1 MToF,Bin 0,Bin 13,Bin 10
1,0.00012445449829101562,0,,0,0.03415823355317116,3.9491126537323,0,0,0,1,0,7.0,0.0,0,0,0,11,35.61166763305664,0.02931205742061138,0.03398134186863899,0,,0.0,1,0,3.6666666666666665,9,0,0
2,0.599736213684082,0,,0,1.7396050691604614,3.962070941925049,0,0,0,1,1,9.0,0.0,0,0,0,5,0.5045333504676819,1.1686416864395142,1.7229410409927368,0,,0.0,1,0,5.0,2,0,0
3,1.1976866722106934,0,,0,1.265315055847168,3.967911720275879,0,0,0,2,0,7.333333333333333,0.0,0,0,0,4,0.5033813118934631,0.7270079255104065,1.2406504154205322,0,,0.0,1,0,5.666666666666667,1,0,0
4,1.7962918281555176,0,,1,0.5770759582519531,3.967911720275879,0,0,0,0,0,0.0,0.0,0,0,0,2,0.5040426850318909,0.24915620684623718,0.5404840707778931,0,,0.0,0,0,0.0,1,0,0
5,2.3947863578796387,0,,0,2.019412040710449,3.967911720275879,0,0,0,1,2,7.666666666666667,0.0,0,0,0,5,0.5035946369171143,1.2375948429107666,1.998687505722046,0,,0.0,0,0,0.0,2,0,0
6,2.994990110397339,1,,0,2.559981107711792,3.967911720275879,0,0,0,1,1,7.666666666666667,9.0,0,0,0,8,0.5042773485183716,1.4453212022781372,2.4050416946411133,0,,0.0,0,0,0.0,5,0,0
7,3.5932204723358154,0,,0,0.3638439476490021,3.987715005874634,0,0,0,0,0,0.0,0.0,0,0,0,1,0.5034880042076111,0.308290958404541,0.36365532875061035,0,,0.0,1,0,4.333333333333333,0,0,0
8,4.193358659744263,0,,0,1.0122627019882202,3.987715005874634,0,0,0,0,1,0.0,0.0,0,0,0,3,0.5042133331298828,0.7371432185173035,1.0080389976501465,0,,0.0,0,0,0.0,2,0,0
9,4.791576385498047,0,,0,1.3702723979949951,3.9846465587615967,0,0,0,0,1,0.0,0.0,0,0,0,3,0.5035306811332703,0.9937257766723633,1.365668773651123,0,,0.0,2,0,6.333333333333333,0,0,0
10,5.391578674316406,0,,0,2.294989824295044,3.9846465587615967,0,0,0,0,3,0.0,0.0,0,0,0,5,0.5043200254440308,1.4898183345794678,2.2823243141174316,0,,0.0,0,0,0.0,2,0,0
11,5.99289870262146,0,,0,0.9221165180206299,3.9831390380859375,0,0,0,0,0,0.0,0.0,0,0,0,4,0.5039786696434021,0.8510518074035645,0.9219179749488831,0,,0.0,1,0,6.333333333333333,3,0,0
12,6.595202445983887,0,,0,11.342538833618164,3.9702651500701904,0,0,0,0,5,0.0,0.0,0,0,0,39,0.5043200254440308,9.331608772277832,11.319395065307617,0,,0.0,10,0,6.333333333333333,24,0,0
13,7.199544429779053,0,,0,27.32680892944336,3.951833486557007,0,0,0,1,10,7.666666666666667,0.0,0,0,0,102,0.5034453272819519,22.97052574157715,27.268051147460938,0,,0.0,19,0,6.333333333333333,72,0,0
14,7.799500942230225,0,,0,3.800910711288452,3.9591381549835205,0,0,0,0,1,0.0,0.0,0,0,0,15,0.5042773485183716,3.309481143951416,3.796058177947998,0,,0.0,3,0,6.0,11,0,0
15,8.398659706115723,0,,0,30.84951400756836,4.00853157043457,0,0,0,2,6,7.333333333333333,0.0,0,0,0,122,0.5049600005149841,26.716764450073242,30.794347763061523,0,,0.0,30,0,6.0,84,0,0
16,8.999028205871582,0,,0,15.795162200927734,4.021620273590088,0,0,0,2,3,7.333333333333333,0.0,0,0,0,68,0.5042773485183716,13.766304969787598,15.756662368774414,0,,0.0,9,0,6.0,54,0,0
17,9.597565412521362,0,,0,5.75123405456543,4.025793552398682,0,0,0,1,1,7.0,0.0,0,0,0,25,0.5036799907684326,4.98626184463501,5.734374523162842,0,,0.0,3,0,6.0,20,0,0
18,10.1972017288208,0,,0,34.97260284423828,4.046789169311523,0,0,0,3,7,6.666666666666667,0.0,0,0,0,152,0.5040213465690613,30.730165481567383,34.90345001220703,0,,0.0,20,0,6.0,122,0,0
